(0, (HighCard [Two; Three; Seven; Ace; King], 253))
(64, (HighCard [Six; Four; Two; Ten; Three], 27))
(65, (HighCard [Six; Five; Three; Queen; Two], 963))
(66, (HighCard [Six; Five; Seven; Eight; King], 31))
(67, (HighCard [Six; Eight; Four; Five; Nine], 164))
(68, (HighCard [Six; Eight; King; Nine; Jack], 979))
(69, (HighCard [Six; Nine; Three; Ace; Four], 266))
(70, (HighCard [Six; Nine; Queen; Jack; Ace], 540))
(71, (HighCard [Six; Ten; Five; Three; King], 186))
(72, (HighCard [Six; Ten; Seven; Three; King], 41))
(73, (HighCard [Six; Jack; Two; Seven; Queen], 667))
(74, (HighCard [Six; Jack; Five; Two; Four], 708))
(75, (HighCard [Six; Jack; Seven; Eight; Three], 42))
(76, (HighCard [Six; Jack; Eight; Two; Ace], 869))
(77, (HighCard [Six; Jack; Nine; Four; Ace], 16))
(78, (HighCard [Six; King; Two; Jack; Eight], 542))
(79, (HighCard [Seven; Two; Six; Five; Ten], 58))
(80, (HighCard [Seven; Three; Nine; Five; Six], 577))
(81, (HighCard [Seven; Three; Nine; Queen; Ten], 512))
(82, (HighCard [Seven; Five; Two; Nine; King], 844))
(83, (HighCard [Seven; Five; King; Two; Jack], 102))
(84, (HighCard [Seven; Five; Ace; Ten; Eight], 554))
(85, (HighCard [Seven; Eight; Ace; Nine; Ten], 161))
(86, (HighCard [Seven; Nine; Six; Two; Four], 322))
(87, (HighCard [Seven; Ten; Jack; Two; Eight], 684))
(88, (HighCard [Seven; Jack; Five; Three; Queen], 333))
(89, (HighCard [Seven; Jack; Six; Ace; Ten], 988))
(90, (HighCard [Seven; Jack; Queen; Five; Nine], 982))
(91, (HighCard [Seven; Queen; Three; Jack; Two], 326))
(92, (HighCard [Seven; Queen; Nine; Ten; Jack], 870))
(93, (HighCard [Seven; Queen; Jack; Eight; Four], 359))
(94, (HighCard [Seven; Queen; King; Six; Two], 945))
(95, (HighCard [Seven; Queen; Ace; Five; Jack], 179))
(96, (HighCard [Seven; King; Nine; Six; Eight], 808))
(97, (HighCard [Eight; Two; Ten; Nine; Jack], 289))
(98, (HighCard [Eight; Two; Queen; Three; Nine], 498))
(99, (HighCard [Eight; Two; King; Nine; Ace], 953))
(100, (HighCard [Eight; Three; Six; King; Ten], 477))
(101, (HighCard [Eight; Four; Jack; Two; Seven], 55))
(102, (HighCard [Eight; Five; Six; Three; Four], 427))
(103, (HighCard [Eight; Six; Seven; Ten; Five], 729))
(104, (HighCard [Eight; Six; Nine; Jack; Two], 471))
(105, (HighCard [Eight; Six; Jack; Queen; Ten], 556))
(106, (HighCard [Eight; Six; King; Three; Five], 663))
(107, (HighCard [Eight; Seven; Five; King; Jack], 866))
(108, (HighCard [Eight; Seven; Ten; Nine; Two], 816))
(109, (HighCard [Eight; Ten; Two; Jack; King], 395))
(110, (HighCard [Eight; Jack; Six; Two; Five], 589))
(111, (HighCard [Eight; Queen; Seven; Four; King], 387))
(112, (HighCard [Eight; Queen; Ten; Five; Seven], 405))
(113, (HighCard [Eight; Queen; Jack; Three; Two], 612))
(114, (HighCard [Nine; Two; Three; Queen; Seven], 190))
(115, (HighCard [Nine; Two; Ace; Queen; Eight], 149))
(116, (HighCard [Nine; Three; Two; Six; Four], 754))
(117, (HighCard [Nine; Three; Queen; Eight; Six], 506))
(118, (HighCard [Nine; Four; Six; Five; Two], 115))
(119, (HighCard [Nine; Four; Six; Queen; Two], 234))
(120, (HighCard [Nine; Five; Four; Ace; Three], 59))
(121, (HighCard [Nine; Six; Seven; Eight; Four], 900))
(122, (HighCard [Nine; Six; Eight; Five; Seven], 797))
(123, (HighCard [Nine; Eight; King; Six; Ace], 215))
(124, (HighCard [Nine; Eight; Ace; Three; Four], 11))
(125, (HighCard [Nine; Ten; Eight; Two; Queen], 531))
(126, (HighCard [Nine; Ten; King; Ace; Four], 284))
(127, (HighCard [Nine; Jack; Four; Six; King], 334))
(128, (HighCard [Nine; Jack; Ace; King; Three], 456))
(129, (HighCard [Nine; Queen; Eight; Five; King], 188))
(130, (HighCard [Nine; Queen; King; Six; Ten], 743))
(131, (HighCard [Nine; Queen; King; Jack; Six], 255))
(132, (HighCard [Nine; King; Seven; Jack; Six], 22))
(133, (HighCard [Nine; Ace; King; Four; Six], 880))
(134, (HighCard [Ten; Two; Three; Seven; Five], 610))
(135, (HighCard [Ten; Two; Queen; Three; Four], 830))
(136, (HighCard [Ten; Three; Eight; King; Four], 891))
(137, (HighCard [Ten; Four; Six; Nine; Seven], 913))
(138, (HighCard [Ten; Four; Queen; Ace; Eight], 768))
(139, (HighCard [Ten; Four; King; Six; Two], 860))
(140, (HighCard [Ten; Six; Three; Ace; Five], 785))
(141, (HighCard [Ten; Six; Jack; Seven; Eight], 710))
(142, (HighCard [Ten; Seven; King; Jack; Ace], 838))
(143, (HighCard [Ten; Seven; Ace; Six; Four], 899))
(144, (HighCard [Ten; Eight; Three; Six; Nine], 961))
(145, (HighCard [Ten; Eight; Queen; Ace; Nine], 806))
(146, (HighCard [Ten; Nine; Jack; Four; Eight], 557))
(147, (HighCard [Ten; Nine; Jack; Eight; Queen], 306))
(148, (HighCard [Ten; Jack; Six; Three; Two], 916))
(149, (HighCard [Ten; Queen; Five; Four; Eight], 876))
(150, (HighCard [Ten; Queen; Nine; Seven; Five], 468))
(151, (HighCard [Ten; Queen; Ace; Six; Seven], 484))
(152, (HighCard [Ten; Ace; Eight; Queen; Jack], 839))
(153, (HighCard [Ten; Ace; Queen; Seven; Two], 518))
(154, (HighCard [Jack; Two; Queen; Four; Nine], 202))
(155, (HighCard [Jack; Four; King; Eight; Three], 285))
(156, (HighCard [Jack; Five; Nine; King; Ten], 461))
(157, (HighCard [Jack; Seven; Five; Six; Ace], 837))
(158, (HighCard [Jack; Nine; Two; Five; Ten], 585))
(159, (HighCard [Jack; Nine; Seven; Eight; Three], 927))
(160, (HighCard [Jack; Queen; Two; Four; Five], 501))
(161, (HighCard [Jack; Queen; King; Three; Eight], 107))
(162, (HighCard [Jack; Queen; King; Five; Three], 661))
(163, (HighCard [Jack; Ace; Five; Four; Queen], 436))
(164, (HighCard [Jack; Ace; Five; Ten; Eight], 407))
(165, (HighCard [Queen; Two; Four; Eight; Jack], 760))
(166, (HighCard [Queen; Two; Eight; Seven; Six], 799))
(167, (HighCard [Queen; Three; Seven; Jack; Nine], 377))
(168, (HighCard [Queen; Five; Six; King; Nine], 995))
(169, (HighCard [Queen; Five; King; Six; Four], 575))
(170, (HighCard [Queen; Six; King; Five; Seven], 301))
(171, (HighCard [Queen; Seven; Four; Jack; Ace], 237))
(172, (HighCard [Queen; Seven; Six; Ten; Jack], 331))
(173, (HighCard [Queen; Eight; Three; Ten; Ace], 282))
(174, (HighCard [Queen; Eight; King; Two; Three], 628))
(175, (HighCard [Queen; Eight; King; Four; Nine], 158))
(176, (HighCard [Queen; Nine; Five; Four; Ace], 958))
(177, (HighCard [Queen; Nine; Five; Eight; Ten], 308))
(178, (HighCard [Queen; Nine; Ace; Seven; Five], 72))
(179, (HighCard [Queen; Jack; Three; Ace; Four], 184))
(180, (HighCard [Queen; Jack; Ten; Two; Seven], 901))
(181, (HighCard [King; Two; Nine; Jack; Four], 433))
(182, (HighCard [King; Two; Ten; Queen; Nine], 644))
(183, (HighCard [King; Three; Six; Nine; Queen], 340))
(184, (HighCard [King; Three; Seven; Eight; Ten], 960))
(185, (HighCard [King; Four; Nine; Three; Five], 933))
(186, (HighCard [King; Four; Ace; Jack; Three], 659))
(187, (HighCard [King; Five; Two; Ace; Three], 601))
(188, (HighCard [King; Five; Four; Two; Seven], 475))
(189, (HighCard [King; Six; Seven; Five; Four], 488))
(190, (HighCard [King; Seven; Eight; Jack; Ten], 519))
(191, (HighCard [King; Seven; Queen; Ace; Nine], 241))
(192, (HighCard [King; Ten; Two; Four; Five], 620))
(193, (HighCard [King; Ten; Two; Jack; Three], 462))
(194, (HighCard [King; Ten; Three; Six; Jack], 551))
(195, (HighCard [King; Jack; Queen; Nine; Three], 802))
(196, (HighCard [King; Queen; Five; Ace; Three], 532))
(197, (HighCard [King; Queen; Nine; Three; Five], 848))
(198, (HighCard [King; Ace; Four; Five; Eight], 467))
(199, (HighCard [King; Ace; Five; Four; Nine], 363))
(200, (HighCard [Ace; Two; Three; Seven; Jack], 459))
(201, (HighCard [Ace; Two; Five; Four; King], 992))
(202, (HighCard [Ace; Two; Eight; King; Seven], 935))
(203, (HighCard [Ace; Three; King; Jack; Eight], 510))
(204, (HighCard [Ace; Four; Three; Two; Five], 290))
(205, (HighCard [Ace; Five; Three; King; Six], 957))
(206, (HighCard [Ace; Five; Six; Eight; Seven], 307))
(207, (HighCard [Ace; Six; Five; Jack; Ten], 981))
(208, (HighCard [Ace; Eight; Queen; Nine; Jack], 403))
(209, (HighCard [Ace; Nine; Four; Two; King], 292))
(210, (HighCard [Ace; Nine; Four; Ten; Jack], 435))
(211, (HighCard [Ace; Nine; Seven; Five; Ten], 160))
(212, (HighCard [Ace; Nine; Eight; Seven; Jack], 686))
(213, (HighCard [Ace; Nine; Ten; Three; Four], 723))
(214, (HighCard [Ace; Ten; Nine; Three; Six], 671))
(215, (HighCard [Ace; King; Ten; Three; Two], 304))
(216, (OnePair [Two; Two; Five; Jack; Six], 9))
(217, (OnePair [Two; Two; Eight; Nine; Three], 698))
(218, (OnePair [Two; Two; Eight; King; Ace], 203))
(219, (OnePair [Two; Two; Queen; Six; Eight], 324))
(220, (OnePair [Two; Three; Queen; Two; Five], 602))
(221, (OnePair [Two; Four; Queen; Queen; Ace], 843))
(222, (OnePair [Two; Five; Four; Ten; Five], 849))
(223, (OnePair [Two; Five; Eight; Four; Four], 204))
(224, (OnePair [Two; Five; Ace; Five; Eight], 626))
(225, (OnePair [Two; Six; Two; Eight; Nine], 295))
(226, (OnePair [Two; Six; Eight; Eight; Seven], 245))
(227, (OnePair [Two; Seven; Six; Queen; Seven], 410))
(228, (OnePair [Two; Eight; Four; Nine; Four], 486))
(229, (OnePair [Two; Nine; Five; Ten; Five], 422))
(230, (OnePair [Two; Ten; Ten; Eight; Three], 206))
(231, (OnePair [Two; Jack; Eight; Queen; Queen], 967))
(232, (OnePair [Two; Jack; Nine; Two; Four], 250))
(233, (OnePair [Two; Jack; King; King; Ten], 576))
(234, (OnePair [Two; Queen; Four; Eight; Queen], 481))
(235, (OnePair [Two; Queen; Ace; Nine; Ace], 269))
(236, (OnePair [Two; Ace; Two; Ten; Six], 937))
(237, (OnePair [Three; Three; Six; King; Seven], 180))
(238, (OnePair [Three; Three; Jack; Four; Eight], 715))
(239, (OnePair [Three; Three; Jack; Ace; King], 525))
(240, (OnePair [Three; Four; Seven; Jack; Three], 144))
(241, (OnePair [Three; Six; Five; Three; Jack], 434))
(242, (OnePair [Three; Six; Five; Ace; Six], 508))
(243, (OnePair [Three; Six; Six; Queen; Nine], 240))
(244, (OnePair [Three; Six; Seven; Seven; Four], 187))
(245, (OnePair [Three; Seven; Three; Jack; Eight], 492))
(246, (OnePair [Three; Seven; Six; Six; Jack], 622))
(247, (OnePair [Three; Eight; Eight; Two; Jack], 393))
(248, (OnePair [Three; Eight; Nine; Ten; Three], 225))
(249, (OnePair [Three; Eight; Queen; Four; Three], 199))
(250, (OnePair [Three; Nine; Two; Jack; Nine], 578))
(251, (OnePair [Three; Jack; Two; Five; Jack], 104))
(252, (OnePair [Three; Jack; Five; Five; Ten], 99))
(253, (OnePair [Three; Queen; Ten; Two; Three], 594))
(254, (OnePair [Three; King; Eight; Seven; Eight], 66))
(255, (OnePair [Four; Four; Nine; Queen; Jack], 651))
(256, (OnePair [Four; Five; Five; Three; Queen], 40))
(257, (OnePair [Four; Six; Three; Four; Two], 157))
(258, (OnePair [Four; Seven; Five; Eight; Four], 124))
(259, (OnePair [Four; Seven; Eight; Four; Queen], 543))
(260, (OnePair [Four; Nine; Five; Two; Four], 645))
(261, (OnePair [Four; Ten; Five; Jack; Jack], 544))
(262, (OnePair [Four; Jack; Two; Nine; Nine], 730))
(263, (OnePair [Four; Jack; Nine; Two; Jack], 2))
(264, (OnePair [Four; Jack; Nine; Queen; Queen], 409))
(265, (OnePair [Four; Jack; King; Ten; Jack], 558))
(266, (OnePair [Four; Queen; Seven; King; Four], 360))
(267, (OnePair [Four; King; Jack; Four; Six], 773))
(268, (OnePair [Four; King; King; Eight; Jack], 563))
(269, (OnePair [Five; Two; Two; Seven; Jack], 23))
(270, (OnePair [Five; Two; Two; Jack; Ten], 842))
(271, (OnePair [Five; Three; Six; Nine; Three], 716))
(272, (OnePair [Five; Four; Five; Three; Ten], 366))
(273, (OnePair [Five; Four; Seven; Seven; Nine], 159))
(274, (OnePair [Five; Four; Eight; Eight; Six], 470))
(275, (OnePair [Five; Four; Jack; Five; King], 617))
(276, (OnePair [Five; Seven; Four; Nine; Four], 749))
(277, (OnePair [Five; Seven; Jack; Five; Three], 581))
(278, (OnePair [Five; Eight; Five; Ace; Ten], 443))
(279, (OnePair [Five; Eight; Six; King; Five], 464))
(280, (OnePair [Five; Nine; Five; King; Ten], 121))
(281, (OnePair [Five; Nine; Nine; Four; Six], 140))
(282, (OnePair [Five; Nine; Nine; King; Four], 699))
(283, (OnePair [Five; Ten; Five; Four; Jack], 111))
(284, (OnePair [Five; Ten; Seven; Ace; Ace], 93))
(285, (OnePair [Five; Ten; Eight; Ten; Jack], 736))
(286, (OnePair [Five; Jack; Nine; Two; Jack], 616))
(287, (OnePair [Five; Queen; Queen; Jack; Four], 956))
(288, (OnePair [Five; Ace; Jack; Five; Nine], 209))
(289, (OnePair [Six; Two; Six; Ten; Five], 647))
(290, (OnePair [Six; Four; Five; Six; Ten], 417))
(291, (OnePair [Six; Four; Eight; Ace; Six], 887))
(292, (OnePair [Six; Four; Queen; Four; King], 254))
(293, (OnePair [Six; Seven; Six; Nine; Ace], 889))
(294, (OnePair [Six; Seven; Jack; Ace; Seven], 312))
(295, (OnePair [Six; Eight; Two; Seven; Seven], 267))
(296, (OnePair [Six; Eight; Nine; Jack; Six], 681))
(297, (OnePair [Six; Nine; Ten; Queen; Six], 30))
(298, (OnePair [Six; Ten; Two; Ten; Queen], 406))
(299, (OnePair [Six; Ten; Jack; Five; Five], 694))
(300, (OnePair [Six; Jack; Six; King; Five], 538))
(301, (OnePair [Six; Jack; Queen; Six; Four], 555))
(302, (OnePair [Six; Queen; Seven; Seven; King], 60))
(303, (OnePair [Six; Queen; Jack; Six; King], 412))
(304, (OnePair [Six; King; Five; Five; Four], 217))
(305, (OnePair [Six; King; Nine; Ten; Nine], 852))
(306, (OnePair [Six; Ace; Jack; Five; Ace], 258))
(307, (OnePair [Six; Ace; Jack; Six; Five], 964))
(308, (OnePair [Seven; Two; Three; Two; King], 718))
(309, (OnePair [Seven; Three; Three; Jack; Ace], 883))
(310, (OnePair [Seven; Four; Eight; Jack; Four], 826))
(311, (OnePair [Seven; Four; Ten; Ace; Seven], 211))
(312, (OnePair [Seven; Five; Queen; Five; Jack], 26))
(313, (OnePair [Seven; Six; Six; Nine; Jack], 603))
(314, (OnePair [Seven; Eight; Five; Two; Two], 545))
(315, (OnePair [Seven; Eight; Nine; Five; Seven], 162))
(316, (OnePair [Seven; Eight; King; Jack; Eight], 873))
(317, (OnePair [Seven; Nine; Four; Ace; Seven], 704))
(318, (OnePair [Seven; Nine; Seven; Six; Eight], 569))
(319, (OnePair [Seven; Ten; Two; Seven; Four], 220))
(320, (OnePair [Seven; Ten; Seven; Five; Eight], 805))
(321, (OnePair [Seven; Ten; Seven; Eight; Three], 567))
(322, (OnePair [Seven; Ten; Ace; Ace; Two], 365))
(323, (OnePair [Seven; Jack; Two; Jack; Ten], 613))
(324, (OnePair [Seven; Jack; Five; Seven; Nine], 665))
(325, (OnePair [Seven; Jack; Ten; Four; Seven], 924))
(326, (OnePair [Seven; Jack; King; Jack; Ace], 936))
(327, (OnePair [Eight; Three; Three; Ace; Nine], 917))
(328, (OnePair [Eight; Four; Four; Two; Ten], 928))
(329, (OnePair [Eight; Four; Four; Ten; Three], 276))
(330, (OnePair [Eight; Five; Seven; Eight; Jack], 706))
(331, (OnePair [Eight; Five; Eight; Queen; Four], 738))
(332, (OnePair [Eight; Five; Jack; Four; Five], 766))
(333, (OnePair [Eight; Five; Jack; Four; Jack], 834))
(334, (OnePair [Eight; Five; Queen; Seven; Five], 251))
(335, (OnePair [Eight; Seven; Seven; Two; Jack], 473))
(336, (OnePair [Eight; Eight; Four; Ten; Jack], 192))
(337, (OnePair [Eight; Eight; Nine; Seven; Ace], 342))
(338, (OnePair [Eight; Nine; Eight; Ten; Ace], 794))
(339, (OnePair [Eight; Ten; Ten; Queen; Five], 252))
(340, (OnePair [Eight; Jack; Eight; Two; Ten], 732))
(341, (OnePair [Eight; Jack; Ace; Eight; King], 288))
(342, (OnePair [Eight; Queen; Nine; Eight; Five], 176))
(343, (OnePair [Eight; Queen; King; Three; King], 774))
(344, (OnePair [Eight; King; Jack; Jack; Ace], 356))
(345, (OnePair [Eight; Ace; Three; Ace; Two], 38))
(346, (OnePair [Eight; Ace; Six; Six; Two], 920))
(347, (OnePair [Eight; Ace; Queen; Four; Four], 691))
(348, (OnePair [Eight; Ace; Ace; Jack; Queen], 36))
(349, (OnePair [Nine; Two; Jack; Ten; Jack], 654))
(350, (OnePair [Nine; Six; Jack; King; King], 183))
(351, (OnePair [Nine; Six; Ace; Nine; King], 868))
(352, (OnePair [Nine; Seven; Seven; Jack; Queen], 709))
(353, (OnePair [Nine; Eight; Four; Eight; Ten], 771))
(354, (OnePair [Nine; Eight; Five; Ten; Nine], 378))
(355, (OnePair [Nine; Eight; Jack; Nine; Two], 608))
(356, (OnePair [Nine; Nine; Two; Jack; Queen], 335))
(357, (OnePair [Nine; Nine; Four; Jack; Seven], 207))
(358, (OnePair [Nine; Nine; Five; Ace; Jack], 643))
(359, (OnePair [Nine; Nine; Jack; Eight; Six], 668))
(360, (OnePair [Nine; Nine; Jack; King; Ace], 408))
(361, (OnePair [Nine; Jack; Five; Eight; Eight], 748))
(362, (OnePair [Nine; Queen; King; Queen; Five], 309))
(363, (OnePair [Nine; King; Seven; Ace; King], 587))
(364, (OnePair [Nine; Ace; Two; Jack; Jack], 820))
(365, (OnePair [Ten; Two; Two; Seven; Nine], 118))
(366, (OnePair [Ten; Three; Jack; Nine; Jack], 950))
(367, (OnePair [Ten; Three; Ace; Six; Ten], 341))
(368, (OnePair [Ten; Four; Three; Ten; Jack], 713))
(369, (OnePair [Ten; Four; Jack; King; Ten], 892))
(370, (OnePair [Ten; Six; Seven; Ten; Three], 421))
(371, (OnePair [Ten; Seven; Ten; King; Ace], 655))
(372, (OnePair [Ten; Eight; Six; Eight; Queen], 238))
(373, (OnePair [Ten; Nine; Nine; Queen; Ace], 993))
(374, (OnePair [Ten; Nine; Queen; Nine; Jack], 905))
(375, (OnePair [Ten; Ten; Eight; Ace; Two], 690))
(376, (OnePair [Ten; Ten; Nine; Three; Eight], 213))
(377, (OnePair [Ten; Ten; Jack; Six; Three], 346))
(378, (OnePair [Ten; Jack; Three; Queen; Jack], 277))
(379, (OnePair [Ten; King; Queen; Queen; Nine], 485))
(380, (OnePair [Jack; Two; King; King; Ace], 629))
(381, (OnePair [Jack; Two; Ace; Two; Six], 772))
(382, (OnePair [Jack; Three; Four; Two; Four], 720))
(383, (OnePair [Jack; Three; Ten; Three; Five], 564))
(384, (OnePair [Jack; Four; Four; Five; Six], 441))
(385, (OnePair [Jack; Four; Ace; Ace; Nine], 853))
(386, (OnePair [Jack; Five; Two; Jack; Six], 447))
(387, (OnePair [Jack; Six; Five; Ten; Six], 775))
(388, (OnePair [Jack; Seven; Seven; Nine; King], 239))
(389, (OnePair [Jack; Seven; Queen; King; Seven], 439))
(390, (OnePair [Jack; Seven; Ace; Four; Ace], 946))
(391, (OnePair [Jack; Eight; Seven; Eight; Nine], 740))
(392, (OnePair [Jack; Eight; Ten; Jack; Three], 105))
(393, (OnePair [Jack; Nine; Ace; Two; Ace], 781))
(394, (OnePair [Jack; Ten; Two; Two; Eight], 970))
(395, (OnePair [Jack; Ten; Four; Queen; Jack], 856))
(396, (OnePair [Jack; Ten; Nine; Ten; Four], 51))
(397, (OnePair [Jack; Ten; Ten; Seven; Five], 786))
(398, (OnePair [Jack; Ten; Ten; Seven; Nine], 666))
(399, (OnePair [Jack; Jack; Six; Two; Ace], 440))
(400, (OnePair [Jack; Jack; Eight; Four; Two], 450))
(401, (OnePair [Jack; Queen; Two; Queen; Five], 112))
(402, (OnePair [Jack; Queen; Jack; Eight; Five], 80))
(403, (OnePair [Jack; King; Four; Ace; Jack], 463))
(404, (OnePair [Jack; King; Nine; King; Queen], 61))
(405, (OnePair [Jack; King; Queen; Two; Queen], 320))
(406, (OnePair [Jack; King; Queen; Queen; Ten], 500))
(407, (OnePair [Jack; King; King; Two; Eight], 863))
(408, (OnePair [Jack; Ace; Two; Two; King], 270))
(409, (OnePair [Jack; Ace; Two; Six; Six], 64))
(410, (OnePair [Jack; Ace; Ten; Seven; Seven], 244))
(411, (OnePair [Queen; Two; Three; Three; Seven], 919))
(412, (OnePair [Queen; Four; King; Four; Eight], 994))
(413, (OnePair [Queen; Four; King; Seven; Seven], 275))
(414, (OnePair [Queen; Five; Five; Two; Seven], 109))
(415, (OnePair [Queen; Six; Queen; Three; Nine], 911))
(416, (OnePair [Queen; Eight; Nine; Nine; Jack], 737))
(417, (OnePair [Queen; Nine; Six; Nine; Jack], 896))
(418, (OnePair [Queen; Ten; Queen; Seven; Jack], 380))
(419, (OnePair [Queen; Jack; King; Jack; Two], 348))
(420, (OnePair [Queen; Queen; Four; Nine; Seven], 70))
(421, (OnePair [Queen; Queen; Ace; Nine; Six], 605))
(422, (OnePair [Queen; Ace; Three; Queen; Jack], 212))
(423, (OnePair [King; Two; King; Ace; Nine], 350))
(424, (OnePair [King; Three; King; Five; Jack], 909))
(425, (OnePair [King; Four; King; Ace; Three], 541))
(426, (OnePair [King; Five; King; Four; Ace], 296))
(427, (OnePair [King; Six; Eight; Nine; Eight], 321))
(428, (OnePair [King; Seven; Six; Ten; Six], 319))
(429, (OnePair [King; Nine; Nine; Jack; Three], 757))
(430, (OnePair [King; Nine; Jack; Four; King], 744))
(431, (OnePair [King; Nine; Queen; King; Six], 85))
(432, (OnePair [King; Ten; Three; Jack; King], 604))
(433, (OnePair [King; Ten; Ten; Three; Six], 148))
(434, (OnePair [King; Jack; Five; Ten; Five], 724))
(435, (OnePair [King; Jack; Jack; Four; Three], 997))
(436, (OnePair [King; Jack; Jack; Ace; Ten], 679))
(437, (OnePair [King; Queen; Queen; Three; Ten], 833))
(438, (OnePair [King; King; Four; Six; Queen], 329))
(439, (OnePair [King; King; Five; Nine; Eight], 246))
(440, (OnePair [King; King; Jack; Four; Ten], 546))
(441, (OnePair [King; Ace; Five; Ace; Six], 944))
(442, (OnePair [King; Ace; King; Eight; Four], 197))
(443, (OnePair [Ace; Two; Three; Queen; Two], 862))
(444, (OnePair [Ace; Three; Seven; Five; Ace], 79))
(445, (OnePair [Ace; Three; Eight; Five; Eight], 14))
(446, (OnePair [Ace; Three; King; Queen; Three], 489))
(447, (OnePair [Ace; Four; Four; Three; Two], 8))
(448, (OnePair [Ace; Four; Six; King; Six], 657))
(449, (OnePair [Ace; Four; Queen; Ten; Queen], 259))
(450, (OnePair [Ace; Seven; Two; Seven; Jack], 646))
(451, (OnePair [Ace; Seven; Ace; Six; Ten], 311))
(452, (OnePair [Ace; Eight; Jack; Five; Jack], 809))
(453, (OnePair [Ace; Ten; Seven; Ten; Jack], 632))
(454, (OnePair [Ace; Ten; Ace; Jack; Four], 669))
(455, (OnePair [Ace; Jack; Seven; Five; Five], 369))
(456, (OnePair [Ace; Jack; Seven; Jack; Four], 373))
(457, (OnePair [Ace; Jack; Nine; Queen; Ace], 452))
(458, (OnePair [Ace; Jack; Ace; Two; Queen], 1))
